>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> SPP >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
>>>>>>>>>>>>>> 观测时段:  2024年4月9日0时0分0秒->2024年4月9日23时59分30秒
>>>>>>>>>>>>>> 测站 :    
>>>>>>>>>>>>>> POSTION(站心残差): 


E/m                      N/m                      U/m
-0.14836                 -1.05132                 -1.17540
0.87603                 -0.94400                 -1.07608
0.09716                  0.06708                 -2.05205
1.03849                 -0.53004                 -1.13052
0.25965                  0.18611                 -0.91794
0.26430                 -0.64916                 -0.60224
0.13512                  0.26277                 -1.08632
0.07556                 -0.47073                 -0.97468
0.51828                  0.20676                 -0.48441
-0.52103                  0.41521                 -2.64842
0.92745                  0.07989                  1.67040
-0.19729                 -1.44521                 -0.65836
-0.23083                  0.83123                  0.18617
0.17744                  0.16598                 -1.10386
1.28870                 -0.37863                 -1.91505
0.81631                 -1.13726                 -0.83555
0.39079                 -0.79388                 -0.93562
0.20682                 -0.01214                 -1.64373
0.12311                  0.15456                 -0.44847
0.40236                  0.61162                 -3.05958
0.80855                 -0.20086                 -2.06128
-0.49384                  1.03487                 -1.51136
0.90487                 -0.63001                 -2.21781
0.70392                 -0.46570                 -0.60591
0.50144                 -0.60474                 -0.64487
0.15611                 -0.57323                  0.75625
-0.55694                 -1.14789                 -0.64088
-0.18258                  0.13047                 -1.44861
-0.22774                  1.09136                 -2.35882
-0.10593                  0.66745                 -0.72872
-0.12654                 -0.42602                 -1.98742
0.85169                  0.82575                 -2.03876
0.72831                 -0.75860                 -1.07808
0.09887                 -0.00650                  0.39333
0.51427                 -0.00983                 -4.60187
0.82154                 -0.33251                 -2.86009
0.18623                  0.16486                 -1.16216
-0.01813                 -1.10734                 -0.35151
0.01288                 -0.73782                 -0.23163
0.53239                 -1.08100                 -2.24098
0.89764                 -1.53288                 -2.95369
0.51047                 -1.50301                 -1.33883
-0.11160                 -1.09349                 -3.02822
0.17802                 -0.28714                 -3.91495
-0.26316                 -1.75056                 -1.70702
-0.15472                  0.40920                  1.17442
0.52208                 -0.73310                 -2.79729
-0.33454                  0.42117                 -0.40571
0.12159                 -0.30344                 -4.06311
0.90719                 -0.12130                 -3.22329
0.38948                 -0.26711                 -1.11124
0.86245                 -0.94895                 -1.58051
0.84293                 -0.71782                 -0.25637
0.09363                 -2.08342                 -1.17581
-0.49545                 -1.46303                 -3.88549
0.16644                 -1.10953                 -2.02031
0.11276                 -1.06695                 -0.43554
-0.83850                 -0.11693                 -1.67692
