>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> SPP >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
>>>>>>>>>>>>>> 观测时段:  2022年4月11日0时0分0秒->2022年4月11日23时59分30秒
>>>>>>>>>>>>>> 测站 :CAMR
>>>>>>>>>>>>>> POSTION(站心残差): 


E/m                      N/m                      U/m
-0.99264                 -3.00664                 -4.01578
-0.59379                 -1.26991                 -2.97992
-0.81991                 -1.37162                 -2.64808
1.34498                 -3.51366                 -0.78422
0.26497                 -2.35300                 -5.90242
-0.62920                 -1.39888                 -4.10419
0.57712                 -3.50435                 -0.16380
0.07567                 -0.23002                 -3.61113
2.13589                 -3.11798                 -9.91268
1.18995                 -3.17940                 -0.96280
1.78322                 -2.93805                 -7.55183
1.74002                 -2.01748                -11.18029
2.84463                 -2.91023                 -7.02692
3.20853                 -4.44404                -11.28033
1.72714                 -4.10038                -12.49779
2.18851                 -4.03147                 -8.89670
1.14973                 -2.79786                 -3.28510
0.99624                 -2.25826                 -6.97206
2.06399                 -3.89001                 -8.66550
-0.37424                 -2.32285                 -3.07424
2.08034                 -3.71410                 -7.78586
-0.85275                 -2.04309                 -0.58945
-1.24965                 -1.74915                 -0.14945
-1.96566                 -2.41043                 -1.46395
-3.20547                  0.83421                  1.45392
-1.83268                 -0.90435                  1.09879
0.63460                 -1.70941                 -3.32984
-2.30796                 -0.94976                 -1.36674
-1.55428                 -0.66658                 -0.60752
-2.56453                  0.22418                  0.57575
-2.67362                 -0.51273                 -2.02113
-0.46265                 -3.13832                 -5.56569
-2.30667                 -0.71569                 -1.05581
-0.56201                 -3.22439                 -3.97952
-2.30474                 -0.76347                 -0.66095
-0.92222                 -1.43598                 -1.00672
-1.51790                 -1.00213                 -0.35400
-1.66143                 -0.03504                 -2.06159
-0.82676                 -0.60922                 -0.27735
-3.10798                 -1.03396                 -1.52695
-2.65859                 -0.88758                 -2.30278
-1.23138                 -0.66249                 -3.00104
-2.40317                 -1.55141                 -1.20562
-2.19813                 -1.36371                  2.05526
-0.92279                  0.13269                 -1.97099
-1.38133                 -0.40241                 -2.18289
-1.04039                 -0.28411                 -3.38754
-1.71200                 -0.97818                  3.31143
-2.05276                 -0.60801                 -0.46522
-1.46629                 -1.33215                  0.48027
-0.73219                 -1.59185                  2.81369
-1.54015                 -0.79059                 -1.26174
0.31263                 -0.97597                 -0.93711
-1.18519                 -0.46821                 -1.13784
-1.53235                 -1.23474                  1.95491
-1.49648                 -0.36467                 -2.13434
-2.50293                 -1.45576                 -0.83519
-1.90290                 -0.37857                 -0.72866
-1.27678                 -0.32742                 -1.95166
-1.43173                 -0.36433                 -2.04351
-2.84074                 -0.77606                 -1.22894
-1.53506                 -2.07115                 -2.05521
-1.92563                 -0.54188                 -1.71823
-2.07846                 -0.01286                 -0.38068
-0.20563                 -0.23994                  0.36745
-1.66318                 -0.46587                  1.78998
0.14594                 -1.13926                  1.45127
-1.37243                 -0.71186                 -0.48151
-0.37157                 -0.50584                  0.19871
-0.48702                 -1.86356                 -0.41599
-0.52272                 -1.15629                  0.68175
-0.31829                 -1.91250                 -0.04236
-0.15656                 -0.63984                 -0.10092
-0.36333                 -1.03563                  2.16439
0.09816                 -0.49809                 -0.56752
0.19222                  0.05436                 -2.09817
-1.67983                 -1.53503                  1.72046
-0.25955                 -0.84341                 -0.16238
0.99770                 -0.67716                 -2.57615
-0.01545                  0.01224                 -1.10855
-0.40224                 -0.62355                 -0.03050
-0.25414                 -0.77473                 -1.04361
-0.08771                 -1.39371                  0.26262
-1.30400                 -0.93801                 -1.88616
-2.18102                 -0.25048                 -2.65924
-0.71784                 -0.45419                 -0.18450
-1.80198                 -0.47491                 -0.16590
-1.95046                 -0.54094                  0.52755
-0.99079                 -0.68956                  0.03775
-2.19601                 -0.43346                 -1.59326
-2.05413                 -1.14159                  0.34327
-0.85187                 -0.75904                 -1.26959
-1.70935                 -2.07186                  3.55529
-1.40887                 -0.55373                  0.40362
-1.14033                 -1.57786                  2.45804
-1.10486                 -1.74565                  1.22526
-0.39635                 -1.27267                  1.31246
0.56781                 -1.48640                  0.23455
0.36672                 -0.41785                  0.53037
0.19266                 -0.56188                  0.80027
-0.70958                 -1.28565                 -0.74509
-0.39855                 -1.74925                  1.67363
0.06746                 -1.38665                 -0.22116
-0.97097                 -0.80401                  1.57093
-1.06957                 -0.23975                 -1.26346
-0.33240                  0.04737                 -1.19333
-0.34897                 -1.33719                  2.01483
-0.05711                 -0.57735                 -0.64344
-0.13597                 -1.28675                  0.50968
0.57685                 -0.74105                 -0.48868
0.16724                 -0.49424                 -0.85973
-0.21982                 -0.71472                 -0.75335
-0.65151                 -0.12351                  0.44163
-1.30405                 -0.97101                  1.84887
-1.74720                 -0.40133                 -0.84591
-1.07345                 -0.24990                  1.83891
-0.60078                 -0.88457                  2.07100
-0.48848                 -1.48380                  1.82372
-1.01647                 -0.69459                 -0.26214
-0.59662                 -1.89697                  4.50327
-0.81763                  0.28985                 -1.99771
-0.20254                 -0.92314                  2.80094
-0.91214                  0.20014                  0.05689
0.05064                 -0.13975                 -0.96797
-0.31682                 -0.52380                  1.73519
-0.99235                  0.03664                 -0.61253
-0.04100                 -0.76197                  2.83689
-0.79427                 -1.20872                  2.78218
-0.81569                 -0.91644                  0.33145
-1.19043                 -1.57539                  4.44885
-0.98332                 -2.45318                  3.46718
-0.20109                 -0.21758                  2.07732
-0.08216                 -0.46192                  0.01897
-0.39943                 -0.65651                 -0.23500
-0.04601                 -0.95486                  1.86041
-0.25090                 -0.76222                  1.90421
-0.23151                 -1.11182                  2.78454
0.19954                 -1.70804                  2.25672
-0.70399                 -1.27391                  5.70827
-0.01349                 -1.60186                  4.09946
-0.62028                 -1.21754                  4.80383
-0.73898                 -0.84214                  4.60710
-0.47068                 -0.51503                  0.67044
-1.31876                 -1.61196                  2.34297
-0.03529                 -1.14654                  0.59557
-0.35642                 -1.44865                  3.74438
-0.20461                 -2.22207                  3.90900
-1.16921                 -1.61768                  3.27321
-0.07031                 -1.63306                  2.76569
0.55642                 -1.85886                  3.65141
1.03920                 -0.36780                  1.54179
0.33008                 -2.49453                  6.00202
0.76752                 -1.50537                  4.86929
1.32543                 -0.78687                  3.00797
0.36945                 -1.41768                  3.57881
-0.10863                 -2.98037                  6.01695
0.38827                 -1.46825                  2.72428
0.38903                 -1.27534                  2.04726
-0.03954                 -0.58349                  3.93055
0.02232                 -0.61257                  3.32662
-0.18895                 -0.55402                  2.15769
0.22218                 -0.86119                  4.77106
-0.14561                 -1.21035                  3.36596
-0.68776                 -0.73864                  4.20868
-0.59896                 -0.83585                  2.64601
-0.13966                 -0.53296                  3.15466
-0.62390                 -1.23145                  3.09643
-0.75576                 -1.70809                  3.81122
-1.35763                 -0.00556                  2.15150
-0.86027                 -1.21177                  3.92756
-0.47462                 -1.14461                  3.67175
-0.13785                 -1.22516                  2.71646
0.06518                 -0.45458                  0.88375
0.03572                 -1.57839                  5.85171
0.83863                 -0.83541                  0.59276
-0.01625                 -0.74117                  2.59765
-0.21318                 -1.29032                  3.07309
0.66289                 -0.65493                 -0.04563
0.08052                 -1.57273                  3.46404
-0.17899                 -0.53566                  2.75431
0.16022                 -1.22496                  3.27663
0.63427                 -1.40569                  3.49983
-0.04202                 -1.11741                  5.07507
-0.51209                 -1.40583                  3.03789
-0.55579                 -1.10649                  4.33476
0.10374                 -1.35563                  5.17336
-0.37568                 -1.83669                  2.32030
0.01849                 -1.76996                  3.71277
-1.03142                 -0.91311                  1.37967
0.16131                 -1.92093                  2.19936
-0.33776                 -2.40127                  6.85356
-0.27762                 -1.47186                  2.86743
-0.63859                 -1.84318                  3.74507
0.40318                 -1.92598                  5.74760
0.43160                 -1.55035                  3.65389
-0.13849                 -1.05338                  4.41540
0.57127                 -1.01412                  5.93369
-0.04483                 -1.14820                  2.03924
0.48572                 -1.35926                  3.75655
0.21639                 -1.43204                  3.35470
-0.20409                 -1.88392                  2.74925
-1.02516                 -1.10629                  2.70284
0.02702                 -2.04509                  3.51501
-0.05642                 -1.92474                  2.40861
-0.06513                 -1.29402                  2.85929
0.06058                 -1.17751                  4.63608
0.56860                 -0.55444                  0.62816
0.71965                 -0.24422                  3.03173
0.96697                 -0.82415                  6.21716
0.55819                 -0.80874                  1.68088
0.22400                 -0.36012                  1.84067
0.30077                 -1.11154                  4.66314
0.42195                 -1.71630                  2.99980
0.20991                 -1.12631                  5.24519
0.61056                 -0.22853                  2.16888
-0.26600                 -0.49694                  1.83184
0.79041                 -0.74007                  1.79076
0.59127                 -1.57502                  3.88675
0.54078                 -0.74790                  4.54111
0.53037                 -1.49369                  3.35704
0.40542                 -1.60742                  4.98483
-0.27421                 -1.92411                  5.07755
-0.34483                 -1.49544                  3.69308
-0.07420                 -1.40870                  4.33990
0.38621                 -1.54747                  5.63121
0.68267                 -0.79114                  3.14057
-0.21045                 -1.17522                  3.36150
-0.30376                 -1.05882                  4.01123
0.42531                 -0.35531                  4.45406
0.21736                 -1.04766                  1.44488
0.43067                  0.08774                  4.59677
0.22920                 -0.64178                  3.86864
0.37967                 -0.60738                  3.61392
-0.28376                 -0.82490                  2.80264
0.21189                 -0.17819                  4.12857
0.34726                 -0.51254                  3.95833
-0.66007                 -0.01736                  4.89712
-0.83775                 -0.52769                  4.01811
-0.26313                 -1.08642                  2.25417
-0.56269                 -1.47118                  4.15529
-0.38569                 -1.22844                  5.52959
-0.52514                 -1.21147                  3.90831
-0.98588                 -0.71833                  2.93031
-0.50795                 -0.57034                  3.10659
-0.67323                 -1.04542                  5.43782
0.20271                 -1.05945                  6.32060
0.58150                 -2.41488                  5.09904
0.30201                 -1.16688                  4.25329
-0.10922                 -1.15214                  3.81405
-0.33103                 -0.97400                  1.78690
1.01450                 -0.32975                  3.98139
0.48232                 -1.47016                  4.01159
