>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> SPP >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
>>>>>>>>>>>>>> 观测时段:  2022年4月12日0时0分0秒->2022年4月12日23时59分30秒
>>>>>>>>>>>>>> 测站 :KNTN
>>>>>>>>>>>>>> POSTION(站心残差): 


E/m                      N/m                      U/m
-0.37927                 -1.54098                 -5.60885
0.47585                 -2.45814                 -5.45010
0.65351                 -2.19396                 -6.27840
0.83351                 -1.95326                 -5.05281
0.77023                 -2.52228                 -4.47372
0.08021                 -1.80780                 -4.31494
-0.20558                 -0.38883                 -5.89828
0.78173                 -2.88627                 -4.42934
0.28533                 -1.86513                 -6.33212
0.59037                 -1.74608                 -5.76921
0.32403                 -1.66423                 -5.30318
0.33834                 -2.45186                 -4.47861
0.47301                 -1.21673                 -5.36266
-0.03748                 -1.03846                 -6.10407
0.90810                 -2.91353                 -4.07095
0.09792                 -2.00539                 -4.57620
0.53592                 -1.96142                 -4.88532
0.90838                 -0.51794                 -5.67113
0.84966                 -2.01837                 -5.83586
1.37230                 -2.10697                 -6.12990
0.14967                 -1.94639                 -4.98573
-0.99018                 -0.45030                 -4.74427
0.73073                 -2.42677                 -5.61223
1.60826                 -2.62955                 -5.21352
0.70219                 -0.81601                 -6.24907
1.60768                 -2.78234                 -5.98819
0.29508                 -2.44770                 -6.51182
1.88968                 -2.09536                 -6.76045
0.20849                 -2.36531                 -6.24301
0.42774                 -2.69484                 -6.40782
0.31247                 -1.97996                 -4.02150
-0.09583                 -2.42473                 -3.19438
0.30024                 -1.08004                 -4.53497
0.14077                 -0.80088                 -5.52027
0.09270                 -2.19515                 -6.49809
0.18410                 -1.83316                 -3.41950
0.25623                 -2.61856                 -3.47335
0.51989                 -1.78077                 -5.07316
0.26236                 -1.83923                 -4.97449
0.55789                 -2.42444                 -4.59828
0.33501                 -0.84305                 -5.67526
-0.14109                 -1.33088                 -2.98829
-0.31720                 -2.28546                 -3.16421
-0.43761                 -1.31332                 -4.65347
-0.32502                 -2.07259                 -5.30360
0.63069                 -0.72412                 -3.24383
-0.22376                 -1.68359                 -4.16037
-0.74671                 -1.04624                 -4.28204
-0.60291                 -1.88170                 -4.44606
0.57300                 -1.89173                 -4.61933
0.19845                 -2.30069                 -3.72889
0.01297                 -1.15638                 -4.19012
0.16493                 -2.34339                 -2.95308
-0.45609                 -0.88187                 -2.89894
0.36466                 -0.22622                 -2.80572
-0.35414                 -1.86192                 -3.85201
-0.28139                 -1.42410                 -3.26567
-0.25867                 -2.10382                 -3.84305
-0.73905                 -1.55114                 -4.69855
-0.02647                 -1.80580                 -3.64021
-0.59920                 -0.57523                 -1.56242
0.06615                 -1.77734                 -3.12156
0.09665                 -2.03888                 -2.73006
-0.02778                 -1.69681                 -1.60278
-0.31600                  0.00287                 -1.95428
-1.02187                 -1.48829                 -0.76185
-0.60733                 -1.35135                 -1.57440
-1.08113                 -0.46791                 -0.39673
-1.19498                 -0.66919                 -3.23956
-0.37867                 -0.53966                 -4.70695
-0.14979                 -0.87945                 -3.11827
-1.13015                  0.23868                 -3.56541
-0.04981                 -1.79906                 -2.25822
-0.44688                 -0.69136                 -3.56425
-1.19193                 -0.92499                 -2.07587
-0.64433                  0.35110                 -1.35689
-0.29619                 -0.54327                 -1.97946
-0.83690                 -1.28902                 -1.06562
-0.25908                 -2.55289                 -1.10809
0.40029                 -1.67826                 -2.09768
-0.95781                 -0.28045                 -2.65754
-1.29390                 -0.40344                 -0.72195
-1.58484                 -0.96626                  0.95176
-1.32660                 -1.31343                  0.40477
-2.30165                 -1.09042                  1.89752
-1.03869                 -1.59104                 -0.66246
-1.54941                 -2.36522                  1.39775
-1.50656                 -2.45546                 -1.07899
-1.77143                 -1.15720                  0.89168
-2.01786                 -1.71169                 -0.61453
-1.89333                 -1.74007                  2.03178
-1.39708                 -1.80366                  1.22339
-0.79102                 -1.58519                  0.68122
-1.29561                 -2.69472                  2.05225
-2.34895                 -1.35156                  1.35195
-2.11937                 -0.52061                 -0.12833
-1.10676                 -2.00700                 -0.49718
-1.70307                 -1.93930                  1.21487
-1.68314                 -1.90711                  1.60806
-1.51697                 -2.31161                 -0.90358
-2.27139                 -1.12182                  1.32996
-1.14082                 -1.96232                  1.45619
-1.04943                 -1.61495                 -0.97131
-1.14036                 -2.15261                  0.75050
-1.38345                 -2.37728                  2.35270
-1.53958                 -0.53119                  3.59125
-1.18907                 -0.62488                 -1.57053
-1.23451                 -1.34782                 -0.47822
-2.26308                 -1.16913                  0.01204
-1.64346                 -1.83094                  0.06935
-2.15683                 -2.14163                  2.84602
-1.72655                 -2.38397                  1.73365
-2.60872                 -1.72704                  3.53164
-0.86025                 -1.90994                 -0.95026
