>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> SPP >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
>>>>>>>>>>>>>> 观测时段:  2022年4月9日0时0分0秒->2022年4月9日23时59分30秒
>>>>>>>>>>>>>> 测站 :SLAC
>>>>>>>>>>>>>> POSTION(站心残差): 


E/m                      N/m                      U/m
-0.72452                 -1.49083                  0.69109
-0.71739                 -0.32755                 -0.89788
-1.48979                 -1.81101                  1.52842
-0.91700                 -1.11087                 -2.75485
-2.64947                 -2.98824                  2.18600
-1.43307                 -1.93954                  5.00080
-1.75814                 -2.14806                 -0.07747
-1.72810                 -3.45744                 -3.37680
-2.43662                 -2.73055                 -0.77150
-1.42462                 -3.55892                  0.59118
-1.69679                 -2.59022                 -4.39252
-2.78819                 -1.60136                  0.97509
-0.20086                 -2.53832                 -3.75398
-0.99039                 -0.85415                 -2.44410
-1.11900                 -0.28403                  1.53140
-1.49404                 -1.21393                 -0.72682
-1.25558                  0.04222                  1.73683
-1.67778                 -1.17124                  1.88724
-0.84724                 -1.30548                 -0.69532
-0.88838                 -0.74775                  2.94748
-0.26165                 -1.56140                 -2.53126
-1.40028                 -1.28504                 -0.10747
-0.89674                 -2.08772                  0.87465
-0.91496                 -0.87138                 -1.78965
-1.97560                 -2.17527                 -2.45585
-2.85509                 -3.11772                  4.42600
-0.54089                 -0.20854                 -1.89936
-0.37427                 -3.23193                 -5.87081
-0.89085                 -2.18906                  0.94836
-0.81992                 -2.25600                 -2.94150
-0.80497                 -2.26248                  2.21988
-0.70579                 -0.93088                  2.42244
-1.95774                 -1.81901                  2.52722
-3.14567                 -1.80879                 -0.51877
-1.82462                 -2.46148                 -3.25024
-0.84837                 -0.02260                 -4.50896
-1.07907                 -0.43270                 -4.97900
-1.83833                 -0.97823                 -3.37310
-0.73585                 -1.13148                  2.26429
-2.36149                 -0.49552                 -1.68273
-1.49671                 -0.33411                  0.29847
-0.42106                 -0.16057                  2.73705
-1.53222                 -0.46231                  2.58509
-1.79991                 -0.16364                 -1.53481
-2.42138                 -4.17315                 -1.96317
-1.72757                 -3.41923                  1.42736
-2.39488                 -1.66070                  2.42537
-1.00825                  0.60438                 -2.04461
-1.96570                 -0.01143                  3.54025
-2.10338                 -1.61566                  4.83813
-1.61397                 -3.08453                  2.86379
-2.96615                 -0.64625                  1.72253
-0.77632                  1.40520                  2.82807
-1.55784                  0.20675                  0.13166
0.30993                 -0.64315                 -1.05527
-1.96599                  0.52122                  2.57852
0.96376                 -0.96455                  1.53706
-0.38479                 -1.36643                  5.31473
-1.24318                 -1.64762                  3.13561
-1.90856                 -1.67090                  5.22864
-0.32516                 -0.50614                 -1.48874
-0.50415                 -1.95198                  6.70536
-0.51258                 -2.43942                  3.75354
-0.69849                 -1.14137                 -0.09441
-1.09397                 -1.64532                 -0.26137
-0.53442                 -0.11525                  4.03192
-2.10310                 -0.16544                 -3.55461
-1.29688                  0.67169                  1.16498
-0.12588                 -1.66208                  1.33433
-1.77896                 -0.60207                  2.41366
-2.60211                 -1.70167                 -3.46921
-0.48191                 -1.59648                  1.85526
-0.09639                 -1.85224                  4.48568
-1.93903                  0.96905                  3.14254
-3.57506                 -2.53192                  4.56723
-1.93943                 -1.12107                 -1.25008
-0.05611                 -0.68013                  2.06038
-1.51923                 -1.25089                 -0.59550
-1.53596                  0.24406                  1.99015
-1.34680                 -0.42369                  2.43581
-1.54359                 -1.65270                  2.08948
-1.79947                 -0.81043                  3.51211
-1.44659                  0.79058                 -1.89895
-0.39381                 -0.90880                  1.38447
-0.89597                 -1.69841                  2.37056
-1.93785                  0.33688                  6.65808
-2.06714                 -1.48279                  0.14515
-0.63263                 -1.95551                  1.69583
0.51939                 -0.81085                 -0.97813
-0.43699                 -0.97129                 -0.93153
0.59805                 -3.79140                  2.92705
-0.89212                 -0.75131                  5.71138
-0.24993                 -2.33731                  4.80451
-1.04032                 -1.89041                  5.32525
-0.32574                 -2.87094                  0.88341
-0.50981                 -1.51620                 -1.44686
-1.19421                 -1.14759                 -0.70840
-1.16152                  0.14565                 -3.21069
-0.89865                 -0.84188                  2.17474
-1.01365                 -0.82199                  0.87974
-0.29080                 -1.74216                 -0.54534
-1.26709                  0.26305                  3.08303
-2.37271                 -0.41012                 -1.41208
-1.59351                 -1.72867                  5.01567
-1.32953                 -1.24413                  4.72497
-1.04647                 -0.77135                  1.37114
0.38671                  0.20176                  3.46823
-1.53132                  0.41210                 -0.24456
0.35458                  1.54292                  1.41820
-0.43154                 -0.84348                  5.81740
-0.77469                  0.19036                  1.62473
0.11066                  0.29248                 -2.73777
-0.45744                  1.98335                 -1.40145
-2.10224                  0.34347                  3.85884
-0.65497                 -2.96146                 -0.85159
-0.96551                 -0.87907                  6.79534
-1.01562                  0.29425                 -0.30179
0.97538                 -4.22345                  0.07065
-1.37032                 -1.36762                  0.51324
0.25349                 -1.35777                  6.38958
-0.29416                 -1.45768                  2.31555
0.61991                 -1.36174                  2.95965
-1.33769                 -1.33308                 -0.26504
-1.83531                 -3.00007                 -2.55523
-1.11497                  0.73043                 -2.73763
-0.32248                 -1.94802                  2.31568
0.56294                 -1.84821                  1.35680
0.58512                 -2.76751                  3.17753
-2.64304                 -0.28079                 -2.24595
-0.15060                 -2.51886                  6.40325
3.05544                 -2.99037                  6.95487
1.17957                 -1.21928                  6.03403
1.04707                 -2.45683                 -1.68808
-0.15758                 -0.38743                  0.99456
0.57377                 -1.01092                  7.33827
1.15940                  0.43292                  4.91648
2.35836                 -1.04932                  5.31459
-0.41930                 -1.22857                  5.59873
1.18237                 -1.20292                  1.00063
-1.12249                  0.20676                  6.60219
1.42987                 -2.24392                  4.63065
0.17384                 -0.54102                  1.88180
1.13096                 -3.08831                  3.08438
-0.18308                 -0.28692                  0.82161
0.10096                 -2.11063                  5.53733
-0.61638                 -0.39733                  0.68747
-1.27416                 -1.90281                  1.16023
-1.17493                 -1.37395                  0.43833
-0.38194                 -1.97406                  6.69049
0.12573                  0.91414                  0.56982
-0.44460                 -1.98321                 -0.24648
2.03069                 -2.93332                  3.54261
-0.68078                  0.57163                 -3.11275
0.65388                 -1.69141                 -1.49666
0.88954                 -1.98930                  0.79713
-1.21954                 -1.39278                  2.22241
-1.04113                 -0.86272                  0.34004
0.11640                  0.32033                  2.11181
-0.00028                  0.71569                  1.21817
0.45444                  0.68967                  4.09100
0.31415                 -0.84468                  5.69432
-0.45670                 -1.66568                  6.98305
-1.05675                 -1.71743                  4.89482
-1.51367                  1.01391                  1.95109
-1.16653                  0.68061                  2.75633
-1.08022                 -0.73324                  3.83664
0.44018                 -0.28298                  4.01034
-1.09715                  0.05198                  2.04086
-1.74834                 -1.59627                  6.02061
-0.15586                 -0.07767                  3.59666
-1.92432                  1.16151                  8.37381
-2.27548                 -0.98787                  6.38701
-1.00714                 -0.66259                  2.05585
0.53832                 -0.68925                  2.54280
0.85294                 -2.39379                  1.30720
0.26008                 -0.16260                 -1.53465
0.61240                 -1.19948                 -1.67438
-0.78491                  1.41877                  2.38942
1.12325                 -1.24106                  4.62480
-1.09001                 -0.95018                  3.99602
2.51733                 -3.13458                  6.05672
0.75699                 -1.39751                  5.93835
0.00992                 -0.45871                  4.14736
-2.19164                  1.82825                  3.25065
-0.89181                 -1.74847                  5.69378
0.58485                 -0.81909                  5.73740
1.08936                 -1.21389                  5.86510
0.30723                 -0.13774                  1.20856
-0.52532                  0.67742                 -1.03864
-0.75189                 -0.78484                  4.21478
0.44862                  1.00043                  0.51529
0.09941                 -1.16912                  3.07488
-2.07383                 -0.67010                  1.52980
0.20392                  0.10793                  4.06815
-1.02658                 -0.14018                  0.89277
-2.38117                  2.04979                  2.78425
-0.48926                 -0.66579                  5.49261
-0.09701                 -1.39515                  5.77466
-1.50073                  0.64456                  3.39096
-1.97742                 -0.22880                  1.93260
-1.30465                 -0.22934                  3.94016
-2.28857                 -0.04285                  2.52923
-0.16461                  0.00953                  4.97314
-0.33753                 -0.15922                  1.37941
-1.21334                 -0.41349                  5.71776
1.27466                 -0.41181                  0.17412
-1.95348                  0.93850                  1.77318
-2.44423                 -0.39689                  2.19596
-0.54470                  0.06199                 -0.14834
-1.05510                 -0.66934                  3.32025
1.39283                 -3.29272                  3.40891
-0.67964                 -0.78741                  2.91789
-0.72047                 -2.04560                  2.32492
1.58619                  0.86179                 -3.57435
0.62241                 -1.01482                  0.24307
0.41688                 -0.91381                  0.23354
-0.22938                 -1.91992                  3.16021
-1.73695                 -0.16512                  1.46946
-1.36156                 -0.49123                  5.42430
-0.76735                 -1.05625                  4.53389
0.74707                 -0.51770                  5.22110
-0.34310                 -0.85365                  2.40090
-1.00661                 -2.49750                  3.19994
-1.74518                 -0.58999                  5.80284
-0.00113                  0.24242                  1.44485
1.32579                 -2.78531                  5.49721
0.21228                 -1.50125                  4.83873
1.72417                 -0.28929                  3.86196
0.55806                 -1.60100                  4.12143
-0.27882                 -0.01718                  5.23801
-0.33649                 -0.21229                  4.83026
0.88256                 -2.29114                  1.06902
-0.44288                 -0.43815                  3.65852
-0.59052                 -2.44237                  3.56038
-0.67615                 -1.70110                  6.19873
0.31390                  0.21626                  5.90495
1.36759                 -1.50605                  5.49435
-0.70252                 -0.99667                  4.72753
0.94055                 -0.18657                  0.59312
0.22703                 -0.46406                  3.13444
-1.12296                 -0.55327                  2.03354
0.01216                 -2.64583                  4.64134
-0.38638                 -0.97314                 -0.23896
0.32579                  0.93138                  0.65526
-1.31047                 -0.25925                  0.10528
0.77796                  1.17234                  0.34844
-1.75601                 -0.57016                  1.54011
0.15217                 -3.21370                  1.12037
0.12292                 -0.87033                  4.37897
-1.13188                  0.05761                 -0.25476
-0.53751                 -0.81247                  0.84924
0.72657                  0.74123                  0.18296
0.47025                  1.03635                  2.03378
-1.43584                  0.88813                  3.61031
-2.00581                  1.55375                 -4.85562
0.93501                 -0.10454                  6.68832
-1.31318                 -0.00712                  2.90271
1.46051                  0.42282                  1.07084
-0.22393                 -1.45411                  3.80128
-2.05521                 -0.78614                 -1.95860
-1.34830                  1.18356                  0.66356
-0.75918                  0.76630                 -1.56075
-1.09505                 -1.02688                  0.08557
0.19767                 -1.19079                  0.56765
-0.84367                 -1.66910                 -1.55901
0.38548                 -2.20774                 -3.08444
-0.58316                 -1.60193                 -1.01275
1.05414                 -0.01773                  5.70929
0.67772                 -0.84611                  5.46594
0.31436                 -1.81054                  2.86229
1.87254                  0.47781                  2.76570
-0.26166                 -0.62303                  1.15846
-0.28621                  0.60128                  2.39793
0.01298                 -1.13637                 -2.91524
0.25807                  1.18925                 -1.87492
0.11977                 -2.02515                  5.78832
0.05531                 -0.16620                  4.99915
1.38966                  0.67528                  1.96947
0.11759                  1.75212                  1.97394
0.34023                 -0.51395                  0.32471
-0.20308                  2.26973                 -1.01588
-0.73452                  1.93905                  2.21878
0.45428                 -1.17614                  6.05274
-0.77337                 -0.54723                  4.65295
-0.18322                  0.45696                 -0.74325
-0.14692                  0.68979                 -1.00032
1.38223                  0.66220                  3.18380
1.02079                  1.20205                  5.19202
1.29919                 -0.26120                  0.15827
0.35439                 -0.61758                  2.91389
0.63390                 -2.51582                  1.50261
-0.12251                 -0.86525                  1.21946
-0.63193                 -0.74629                  0.27436
2.14058                 -0.31350                  1.60459
-1.15527                 -0.27640                  2.46714
-1.28077                  1.42842                 -0.72347
-0.86626                 -0.22210                  1.21917
0.51875                 -1.33673                 -0.12319
-0.37204                  0.10336                  3.25531
-0.23971                  0.06068                  5.77132
-0.40464                  0.24945                 -0.97674
-0.26266                  1.20717                  1.07137
-0.92535                  1.76924                 -0.39887
0.29945                  0.47599                  2.78051
0.67590                 -0.98128                  6.02343
1.42596                  0.90048                  6.11745
-0.15185                 -1.99047                  3.97022
-0.14342                  0.07227                  3.45758
-1.06756                 -1.85736                  3.54407
-0.20399                 -0.39710                  0.08476
-0.25207                 -0.10863                  3.36684
-0.42896                  3.04480                  3.48973
-1.18452                  0.05036                  5.51773
-0.10426                 -0.52723                  2.35080
1.75347                 -0.34130                  2.12208
0.41107                 -1.39758                 -1.09644
0.44296                  0.61610                  2.48578
-0.60068                 -0.18180                  1.78962
0.49778                 -1.04742                  2.09515
0.12647                  0.23283                  5.68556
-0.54166                  1.00958                  2.13783
0.49891                  0.56219                  4.22176
0.09058                  1.67106                  2.18868
-0.21620                 -0.89863                 -0.34908
0.18740                 -0.53910                  6.79713
0.26276                  1.44710                  4.18507
0.50586                 -0.64011                  5.02660
-0.56295                  0.76560                  4.86361
0.36916                  1.65018                 10.10893
1.08145                  0.40325                  3.16573
-0.75963                  0.75727                  3.58050
0.29222                  0.89994                  3.34530
0.17974                  0.76759                  3.07082
0.29457                  0.31641                  1.99002
1.72350                  0.63993                  2.98217
0.42522                 -0.64262                  1.30525
-0.80907                 -0.18115                  0.71805
-0.44173                 -0.53673                  2.98114
1.20543                  1.78945                  2.04998
1.39064                  3.27747                  4.94571
1.15177                  0.63785                  3.82523
1.21230                  1.42843                  2.22287
0.32923                 -0.67344                  5.37251
-0.86972                 -1.21330                  3.52945
-0.03126                 -1.23291                  5.06585
0.93192                  0.15839                  2.10564
-0.90166                 -1.53153                  7.92577
-0.58565                  0.41027                  1.77229
1.13258                 -1.06876                 -0.82094
0.88208                 -0.77299                  1.55759
-0.87417                 -0.03377                  0.77041
-0.07883                 -0.80837                  0.67235
-0.90891                  0.63543                  2.75789
1.56654                  0.04335                  0.89420
-0.01249                  2.57845                  3.16104
-0.25792                 -0.45209                  1.10656
-0.31808                  1.21553                  6.80508
0.17344                  0.28405                  2.53227
0.70509                  0.76360                  2.61994
1.29538                 -0.21908                  2.59856
1.49413                  2.66672                  6.84673
1.56716                 -0.98279                  0.12447
1.93068                  0.06365                  2.95540
-0.32909                 -1.36689                  2.11067
0.75217                 -0.02561                  4.13720
1.06851                  0.21331                  1.71095
1.08150                  1.70853                  2.37458
1.75422                  0.40812                  1.71742
1.99162                  1.24809                  3.52595
0.41318                 -0.16574                  0.79076
0.98147                 -0.54113                  3.63480
0.36518                  0.53030                  2.98438
1.09003                 -0.06308                  0.74745
0.66998                  0.30991                  2.37971
-0.38579                 -0.59397                  0.38514
-0.44725                  0.27513                  2.74861
-1.58888                 -0.31142                  3.24480
0.71936                 -0.92628                 -0.43168
2.49419                 -1.33310                  1.03113
0.69443                  0.14120                  4.46883
-0.11894                 -2.10331                  5.87624
0.37590                 -0.14294                  1.92636
1.52293                 -0.64785                  2.27133
1.14647                 -0.09389                  3.58676
0.19664                  1.64037                  5.25135
2.15403                 -0.06092                 -2.69324
0.80285                  0.80561                  0.22482
0.03259                  1.07805                  3.90780
-0.54677                  0.36299                  2.40944
1.87988                 -1.86110                  5.49011
1.36609                  1.39036                  3.21944
0.67689                  1.38547                  1.92209
0.89667                 -0.62470                  4.10876
-0.15569                  1.51054                 -0.26465
0.01532                  1.35984                 -0.90896
-0.02471                  0.83927                  4.44352
0.69574                  0.53202                  6.04680
-0.57294                  0.40393                  5.42145
-0.42452                  2.38947                  2.39947
0.56038                  0.81467                  0.79258
0.47505                  0.19414                  3.90324
0.30852                 -2.80537                  4.29678
0.25387                 -1.45016                  2.52331
-0.14013                 -0.63803                  3.73916
0.76571                 -0.31717                  5.34642
