>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> SPP >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
>>>>>>>>>>>>>> 观测时段:  2024年4月9日0时0分0秒->2024年4月9日23时59分30秒
>>>>>>>>>>>>>> 测站 :    
>>>>>>>>>>>>>> POSTION(站心残差): 


E/m                      N/m                      U/m
-0.10761                 -1.13216                 -1.58580
0.97132                 -0.83498                 -1.13709
0.17491                  0.25398                 -2.52556
1.10474                 -0.36523                 -1.32697
0.37357                  0.32721                 -1.47426
0.32610                 -0.48470                 -1.01524
0.22257                  0.31259                 -1.50499
0.21997                 -0.36677                 -1.18610
0.60003                  0.46381                 -1.03044
-0.44482                  0.52664                 -2.83390
0.97327                  0.14350                  1.52886
-0.18387                 -1.34571                 -0.87531
-0.15584                  1.12050                 -0.01803
0.12073                  0.26805                 -1.47347
1.31514                 -0.30741                 -2.10520
0.85355                 -0.96714                 -1.07471
0.43066                 -0.80358                 -1.60093
0.23622                  0.12883                 -2.28043
0.17121                  0.20647                 -1.11858
0.38599                  0.68322                 -3.48716
0.92509                 -0.11518                 -2.44306
-0.49383                  1.07205                 -2.30361
0.94695                 -0.34880                 -2.75112
0.76961                 -0.40744                 -0.84267
0.49254                 -0.52393                 -1.12341
0.35433                 -0.65903                  1.14844
-0.49785                 -1.45750                 -1.30303
-0.15736                  0.33584                 -1.70653
-0.31090                  1.08055                 -3.01666
-0.18868                  0.73736                 -1.59221
-0.19396                 -0.31828                 -2.60483
0.85969                  0.81292                 -2.56227
0.74639                 -0.67015                 -1.21528
0.13722                  0.00555                  0.16939
0.40543                  0.08241                 -5.42557
0.83645                 -0.44379                 -3.25394
0.14131                  0.31871                 -1.59628
-0.01765                 -1.16813                 -0.70504
0.08593                 -0.88426                 -0.39653
0.61828                 -1.34677                 -2.47055
0.93382                 -1.77110                 -3.39088
0.56927                 -1.71225                 -1.69456
-0.15034                 -1.37952                 -3.73676
0.12452                 -0.58315                 -4.63463
-0.45502                 -2.04960                 -3.13566
-0.10331                  0.48342                  1.22315
0.51859                 -0.68691                 -3.22084
-0.32910                  0.18130                 -0.94509
-0.00196                 -0.47198                 -5.08891
0.90790                 -0.15493                 -3.49095
0.37814                 -0.51142                 -1.66989
0.79334                 -1.21723                 -2.03977
0.90459                 -0.81476                 -0.44188
-0.07144                 -2.67151                 -2.62542
-0.68211                 -1.90181                 -5.11505
0.06462                 -1.25880                 -2.65736
0.07530                 -1.49745                 -1.11782
-0.90752                 -0.21076                 -2.29892
