>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> SPP >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
>>>>>>>>>>>>>> 观测时段:  2024年4月9日0时0分0秒->2024年4月9日23时59分30秒
>>>>>>>>>>>>>> 测站 :    
>>>>>>>>>>>>>> POSTION(站心残差): 


E/m                      N/m                      U/m
-0.15826                 -1.14563                 -1.43751
0.92067                 -0.84844                 -0.98880
0.12426                  0.24051                 -2.37727
1.05409                 -0.37870                 -1.17869
0.32292                  0.31374                 -1.32598
0.27545                 -0.49817                 -0.86695
0.17192                  0.29913                 -1.35670
0.16932                 -0.38024                 -1.03781
0.54938                  0.45035                 -0.88215
-0.49547                  0.51318                 -2.68561
0.92262                  0.13004                  1.67715
-0.23452                 -1.35917                 -0.72703
-0.20649                  1.10703                  0.13026
0.07008                  0.25459                 -1.32518
1.26449                 -0.32087                 -1.95691
0.80290                 -0.98061                 -0.92642
0.38001                 -0.81705                 -1.45265
0.18557                  0.11537                 -2.13214
0.12056                  0.19300                 -0.97029
0.33534                  0.66976                 -3.33887
0.87444                 -0.12864                 -2.29477
-0.54448                  1.05858                 -2.15532
0.89630                 -0.36226                 -2.60283
0.71896                 -0.42090                 -0.69438
0.44189                 -0.53740                 -0.97512
0.30368                 -0.67249                  1.29673
-0.54849                 -1.47096                 -1.15474
-0.20801                  0.32238                 -1.55824
-0.36155                  1.06709                 -2.86837
-0.23932                  0.72390                 -1.44392
-0.24461                 -0.33174                 -2.45654
0.80904                  0.79945                 -2.41398
0.69574                 -0.68362                 -1.06699
0.08657                 -0.00791                  0.31768
0.35479                  0.06894                 -5.27728
0.78580                 -0.45725                 -3.10565
0.09066                  0.30525                 -1.44799
-0.06830                 -1.18159                 -0.55675
0.03528                 -0.89773                 -0.24824
0.56764                 -1.36023                 -2.32226
0.88318                 -1.78456                 -3.24259
0.51862                 -1.72571                 -1.54627
-0.20099                 -1.39298                 -3.58847
0.07387                 -0.59661                 -4.48634
-0.50567                 -2.06307                 -2.98737
-0.15395                  0.46996                  1.37144
0.46794                 -0.70037                 -3.07255
-0.37975                  0.16783                 -0.79681
-0.05261                 -0.48544                 -4.94063
0.85725                 -0.16839                 -3.34266
0.32749                 -0.52489                 -1.52160
0.74269                 -1.23070                 -1.89148
0.85394                 -0.82822                 -0.29360
-0.12209                 -2.68497                 -2.47714
-0.73276                 -1.91527                 -4.96677
0.01398                 -1.27227                 -2.50907
0.02465                 -1.51092                 -0.96953
-0.95817                 -0.22422                 -2.15063
