>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> SPP >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
>>>>>>>>>>>>>> 观测时段:  2024年4月9日0时0分0秒->2024年4月9日23时59分30秒
>>>>>>>>>>>>>> 测站 :    
>>>>>>>>>>>>>> POSTION(站心残差): 


E/m                      N/m                      U/m
-1.07382                 -0.84413                 -3.06259
1.25136                 -0.99777                  0.34775
-0.71416                 -0.02283                 -1.39806
0.76250                 -0.95735                  1.58376
0.21157                  0.00481                  0.35822
-0.83667                 -0.55392                 -1.08806
-0.75847                 -0.27492                  0.74182
0.78049                 -0.97365                  2.36574
0.46545                  0.47066                 -0.60370
-0.33681                  0.03479                 -0.19246
1.20621                  0.71328                  0.05737
0.66280                 -1.10764                 -0.47313
-0.46941                  0.85624                  1.29326
0.93467                  0.63756                 -1.53339
0.83750                 -0.98796                  0.54966
-0.07764                 -0.80808                 -1.90747
-0.15536                 -0.07886                 -4.10514
0.77446                 -0.02423                 -0.64438
-0.59519                 -0.39982                  0.83000
-0.05065                 -0.15226                 -0.50303
0.50831                 -0.64979                 -0.47620
0.32978                  0.15993                  2.02237
0.90908                 -0.43400                 -1.89890
-0.33118                  0.16895                 -3.04933
-0.06961                 -1.01779                  0.45838
1.08112                 -0.04625                  0.65716
-0.53521                 -1.50695                 -0.56244
-0.13210                  0.34325                 -1.06815
-1.67924                 -0.20481                 -0.08954
-0.37898                  0.54271                 -0.59867
-0.19863                 -0.33584                 -1.91879
0.04162                 -0.01228                 -0.51076
0.82133                 -0.60528                 -0.66491
0.69013                  0.56979                 -0.09795
-0.74161                 -1.14600                 -2.77351
0.17268                 -1.17352                 -1.42425
-0.05383                  0.09433                 -0.57881
-0.32448                 -1.52319                  0.51348
0.18733                 -0.77225                  0.09489
0.31371                 -1.71285                 -1.24543
0.69565                 -2.06365                 -2.28188
-0.02524                 -2.45201                  0.08156
-0.20964                 -1.45621                 -2.95525
-0.06100                 -0.82399                 -3.61154
-0.98419                 -2.75001                 -1.44286
0.02186                  0.65484                  1.64366
0.29418                 -0.99475                 -2.10729
-0.12067                  0.48086                 -0.70395
-0.31650                 -0.92228                 -3.77691
-0.06460                 -1.58992                 -0.78692
-0.38999                 -1.66853                  0.63298
0.25011                 -2.05112                 -0.19736
0.72072                 -1.09603                  0.62348
0.16860                 -2.26840                 -2.51509
-0.72297                 -1.95594                 -4.36740
-0.21550                 -1.72169                 -1.34302
0.27009                 -1.13921                 -0.94073
