>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> SPP >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
>>>>>>>>>>>>>> 观测时段:  2024年4月9日0时0分0秒->2024年4月9日23时59分30秒
>>>>>>>>>>>>>> 测站 :    
>>>>>>>>>>>>>> POSTION(站心残差): 


E/m                      N/m                      U/m
-0.16252                 -1.13949                 -1.44950
0.91641                 -0.84230                 -1.00079
0.12000                  0.24665                 -2.38926
1.04983                 -0.37256                 -1.19067
0.31866                  0.31988                 -1.33796
0.27119                 -0.49203                 -0.87894
0.16766                  0.30526                 -1.36868
0.16506                 -0.37410                 -1.04979
0.54512                  0.45649                 -0.89413
-0.49973                  0.51932                 -2.69759
0.91836                  0.13618                  1.66516
-0.08475                 -1.51557                  0.02708
-0.21075                  1.11317                  0.11827
0.06582                  0.26073                 -1.33717
1.45724                 -0.52160                 -1.03025
0.32597                 -0.47847                 -3.15912
-0.28664                 -0.11593                 -4.53403
0.47332                 -0.18496                 -0.80933
0.12839                  0.18644                 -0.92773
0.60037                  0.39275                 -2.15249
0.97590                 -0.23384                 -1.84243
0.28734                  0.18258                  1.45729
0.91092                 -0.37609                 -2.53399
-0.08299                  0.43096                 -4.07728
0.43763                 -0.53126                 -0.98711
0.29942                 -0.66635                  1.28474
-0.55276                 -1.46482                 -1.16672
-0.21227                  0.32852                 -1.57022
-0.36581                  1.07323                 -2.88035
-0.24359                  0.73003                 -1.45591
-0.24887                 -0.32560                 -2.46853
0.80478                  0.80559                 -2.42597
0.69148                 -0.67748                 -1.07897
0.08231                 -0.00177                  0.30570
0.35052                  0.07508                 -5.28926
0.78154                 -0.45111                 -3.11763
0.08640                  0.31138                 -1.45998
-0.07256                 -1.17545                 -0.56873
0.03102                 -0.89159                 -0.26022
0.56337                 -1.35410                 -2.33424
0.87891                 -1.77842                 -3.25457
0.51436                 -1.71958                 -1.55825
-0.20525                 -1.38685                 -3.60045
0.06961                 -0.59047                 -4.49832
-0.50993                 -2.05693                 -2.99936
-0.15822                  0.47610                  1.35946
0.46368                 -0.69424                 -3.08454
-0.38401                  0.17397                 -0.80879
-0.05687                 -0.47930                 -4.95261
0.85299                 -0.16225                 -3.35464
0.32323                 -0.51875                 -1.53359
0.73843                 -1.22456                 -1.90346
0.84968                 -0.82208                 -0.30558
-0.12635                 -2.67884                 -2.48912
-0.73702                 -1.90913                 -4.97875
0.00971                 -1.26613                 -2.52106
0.02039                 -1.50478                 -0.98152
-0.96243                 -0.21809                 -2.16261
