>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> SPP >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
>>>>>>>>>>>>>> 观测时段:  2024年4月9日0时0分0秒->2024年4月9日23时59分30秒
>>>>>>>>>>>>>> 测站 :    
>>>>>>>>>>>>>> POSTION(站心残差): 


E/m                      N/m                      U/m
-0.24356                 -1.01094                 -1.03300
0.80333                 -0.97769                 -0.93676
0.03942                 -0.03002                 -1.35053
0.99147                 -0.60204                 -0.74137
0.17625                  0.14419                 -0.23552
0.22357                 -0.70494                  0.02079
0.06995                  0.27500                 -0.69149
0.00231                 -0.45480                 -0.70744
0.49845                  0.09773                  0.36195
-0.56994                  0.38326                 -2.36286
0.87638                  0.05807                  1.86849
-0.23740                 -1.50785                 -0.31868
-0.23991                  0.70235                  0.75777
0.15660                  0.06065                 -0.58264
1.24160                 -0.42010                 -1.64106
0.79441                 -1.21893                 -0.38667
0.34663                 -0.75364                 -0.31538
0.19580                 -0.05437                 -0.85000
0.09184                  0.18889                  0.25787
0.36777                  0.56951                 -2.56040
0.78414                 -0.14529                 -1.56670
-0.51219                  1.04713                 -0.64059
0.93101                 -0.70978                 -1.30240
0.67847                 -0.43630                 -0.26238
0.53362                 -0.61785                 -0.22334
-0.04399                 -0.39867                  0.62730
-0.64850                 -0.95852                 -0.12025
-0.17152                  0.06002                 -0.78566
-0.18490                  1.07773                 -1.91505
-0.02170                  0.63350                  0.19147
-0.06997                 -0.48957                 -1.21059
0.87403                  0.91302                 -1.38371
0.69729                 -0.78556                 -0.69789
0.06753                  0.05837                  0.82928
0.64117                 -0.01230                 -3.78125
0.77768                 -0.22237                 -2.38144
0.24558                  0.11794                 -0.46854
-0.02409                 -0.98958                  0.06037
-0.05547                 -0.48754                  0.11213
0.45933                 -0.76196                 -1.90135
0.83666                 -1.25492                 -2.38915
0.45844                 -1.19866                 -0.74575
-0.14161                 -0.85861                 -2.35241
0.19835                  0.02370                 -3.29489
-0.16555                 -1.59641                 -0.44180
-0.19243                  0.46929                  1.43498
0.57413                 -0.57376                 -1.94059
-0.39038                  0.65353                  0.27328
0.16754                 -0.22718                 -3.06996
0.90253                  0.02269                 -2.74036
0.36966                  0.02920                 -0.45307
0.90815                 -0.64176                 -1.28287
0.79012                 -0.48466                  0.26765
0.12175                 -1.61996                  0.03891
-0.39774                 -1.11294                 -2.91722
0.22060                 -0.98569                 -1.45597
0.04971                 -0.72701                  0.12404
-0.81738                 -0.01786                 -0.99982
