>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> SPP >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
>>>>>>>>>>>>>> 观测时段:  2024年4月9日0时0分0秒->2024年4月9日23时59分30秒
>>>>>>>>>>>>>> 测站 :    
>>>>>>>>>>>>>> POSTION(站心残差): 


E/m                      N/m                      U/m
-0.20783                 -1.09637                 -1.40865
0.88742                 -0.85964                 -0.99712
0.10659                  0.18933                 -1.77884
1.04546                 -0.41414                 -0.92910
0.28427                  0.31119                 -0.74756
0.27744                 -0.51021                 -0.36753
0.15497                  0.34352                 -1.07975
0.14085                 -0.33739                 -0.91797
0.57209                  0.39716                 -0.15837
-0.50249                  0.51214                 -2.54880
0.91213                  0.13162                  1.72867
-0.23345                 -1.38941                 -0.52724
-0.17815                  1.02643                  0.53501
0.09138                  0.18792                 -0.92416
1.25927                 -0.33465                 -1.82540
0.82207                 -1.02436                 -0.63366
0.39305                 -0.73476                 -0.94474
0.22847                  0.12552                 -1.47514
0.14757                  0.27461                 -0.40023
0.34958                  0.66546                 -2.97248
0.90265                 -0.03566                 -1.97920
-0.49900                  1.12452                 -1.40888
0.97365                 -0.39114                 -1.87733
0.74026                 -0.36319                 -0.52484
0.49992                 -0.49732                 -0.76437
0.18727                 -0.53126                  1.08375
-0.57436                 -1.23503                 -0.76484
-0.18541                  0.32604                 -1.22209
-0.29117                  1.11126                 -2.59935
-0.14578                  0.79720                 -0.82310
-0.17842                 -0.30787                 -1.96575
0.86614                  0.94877                 -2.01906
0.69557                 -0.67219                 -0.91799
0.09679                  0.09200                  0.52008
0.49380                  0.15366                 -4.72721
0.79434                 -0.31256                 -2.81767
0.16367                  0.32601                 -1.04791
-0.02538                 -1.03593                 -0.34171
0.03587                 -0.65302                 -0.11207
0.57599                 -1.04912                 -2.17090
0.89848                 -1.49096                 -2.88727
0.54105                 -1.41403                 -1.20646
-0.15482                 -1.11674                 -3.07897
0.17221                 -0.25624                 -4.03534
-0.34787                 -1.79595                 -1.90662
-0.15530                  0.52794                  1.37518
0.55371                 -0.51906                 -2.58567
-0.36168                  0.41623                 -0.34839
0.05067                 -0.32531                 -4.13894
0.89984                 -0.02091                 -3.11788
0.38414                 -0.22648                 -1.10680
0.85814                 -0.93044                 -1.74973
0.85701                 -0.62071                 -0.08685
0.03165                 -2.17598                 -1.42058
-0.53990                 -1.51982                 -4.14852
0.12451                 -1.11424                 -2.10961
0.06307                 -1.17952                 -0.56404
-0.88092                 -0.09535                 -1.68834
