>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> SPP >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
>>>>>>>>>>>>>> 观测时段:  2024年4月9日0时0分0秒->2024年4月9日23时59分30秒
>>>>>>>>>>>>>> 测站 :    
>>>>>>>>>>>>>> POSTION(站心残差): 


E/m                      N/m                      U/m
-1.11621                 -0.70785                 -2.26722
0.00272                 -2.57702                 -1.94940
-0.07163                 -2.55240                  0.80643
1.08408                 -1.31440                  1.61147
-0.45674                 -0.08611                  0.68345
-0.38478                 -0.48865                  0.57425
-0.58621                 -1.53108                  0.09188
0.43854                 -0.44294                  0.61418
-0.62085                 -0.85791                 -0.07855
-1.31278                 -0.51014                  1.19984
0.00104                 -0.09662                 -0.02956
1.05284                 -0.14716                 -0.60489
0.38734                  0.16611                  0.60123
-0.51017                 -1.10276                 -0.46150
-0.17910                 -1.65324                  0.87140
-0.61760                 -1.36681                  2.08335
-0.23036                 -1.51277                  0.71885
-0.81025                 -0.40257                  0.44942
-0.88535                 -0.59945                  1.05250
-0.93992                 -1.97758                  1.43745
-0.47098                 -0.27835                  1.44915
-0.06003                 -1.56494                  3.08225
0.37905                 -0.88091                  1.02720
-0.39421                 -1.21726                  2.19174
0.50999                 -0.15263                  1.60112
0.46179                 -0.73844                  0.04081
-0.88997                 -0.91858                  1.88654
-0.20089                 -0.37392                 -0.13307
-0.36619                 -2.34625                  2.80697
-0.91740                 -2.43463                  0.96429
-0.77707                 -1.94981                 -0.18064
-0.86940                 -1.66281                  2.55234
-0.47283                 -2.33690                  1.39271
0.07370                 -1.39289                  1.45468
-0.88896                 -1.82903                  0.97029
-0.83117                 -1.11004                  0.80537
-0.68104                 -0.71170                  1.68431
-0.27764                 -0.66345                  0.32439
-0.28212                 -1.25348                  0.40717
-0.91786                 -1.70690                  0.05210
-0.98902                 -0.58130                 -0.50463
0.02662                 -1.63305                  1.33773
0.36110                 -2.03900                  1.88867
-0.22172                 -1.18988                  1.22264
-0.16796                 -0.17708                  0.55993
0.04549                 -1.77659                  2.29550
0.37940                 -1.24768                  1.61600
-0.81243                 -0.47579                  3.04622
-0.55331                 -0.50825                  0.69430
-0.62525                 -1.01716                  0.50026
-0.87137                 -1.21986                  0.73234
-0.46523                 -1.15727                  1.83431
-0.02892                 -1.21063                  1.31465
1.00352                 -1.83482                  0.86778
-0.00672                 -0.69499                  1.33502
-1.35297                 -0.38948                  2.24273
-1.13772                 -0.31306                  2.05622
0.29650                 -1.44849                  0.71036
